KR-20090374,(374)SKCC MIS 경영지원 운영_2009,20,AM
KR-20090381,SK Telesys IT 유지보수(2009)-2,20,AM
KR-20090382,SKCC ERP/BW 운영_2009,20,AM
CN-20090069,RIM Monitoring-SKCC-August,30,RIM
CN-20090070,SK Tower Contract Management System,60,SI(AD)
CN-20090071,SK China SK Tower Cabling,70,SI(AM)
CN-20090072,SKT Joy Nav Nexcore Delivery,50,SI(HW/SW)
KR-20090377,SKC HASS ONGOING SERVICE,20,AM
KR-20090241,WIBRO Operation development,10,AD
KR-20090265,SKEC Groupware,20,AM
KR-20090272,channel connection analysis system.,10,AD
KR-20090276,SKT Ukey structure optimization,10,AD
KR-20090277,a processincarnation,10,AD
KR-20090283,recommendation technical promotion,10,AD
KR-20090294,Recommendation skill improvement,10,AD
KR-20090320,SKT channel connection data  integration a system,10,AD
KR-20090321,SKT Ukey customer  consultation module skill.,10,AD
KR-20090327,WIBRO business computation   development,10,AD
KR-20090332,SKT channel connection data integration analysisys,10,AD
KR-20090343,SKTchannel connection data unification systematic,10,AD
KR-20090345,SKT Ukey customer  consultation module amelioratio,10,AD
KR-20090352,SKT Timage customer center  altitude,10,AD
KR-20090361,SKTnonpayment consultation channel altitude,10,AD
KR-20090363,SKT Timage customer center altitude,10,AD
KR-20090365,SKT plans enhanced referrals feature,10,AD
KR-20090376,SK네트웍 LPG 매입프로세스 구축,20,AM
KR-20090387,SKT M Customer Center,10,AD
KR-20090398,S-MOVILION 부품유통 고도화,20,AM
KR-20090375,(375)SKCC 사업지원 시스템 운영 09,20,AM
KR-20090389,ALMS,10,AD
KR-20090403,SKE S 09-MIS,20,AM
CN-20090074,RIM Monitoring-SKCC-September,30,RIM
KR-20090262,09-Security control  operations,20,AM
KR-20090269,SKN 09 MIS_EM사업관리(원격진단),20,AM
KR-20090293,SKT Deployment IP Mediation Function improvement,10,AD
KR-20090302,에스케이텔레콤 SK Talent Portal 구축,10,AD
KR-20090312,SK에너지 MIS 물류관리 개선,20,AM
KR-20090313,SK에너지 MIS 경영지원  개선,20,AM
KR-20090314,에스케이텔레콤 SK Talent Portal   구축,10,AD
KR-20090322,SK홀딩스 MIS 개선,20,AM
KR-20090384,(384)SKN 09 MIS(s)_EM사업관리,20,AM
KR-20090385,(385)SKN 09 MIS(c)_EM사업관리,20,AM
KR-20090386,(386)SKN 09 MIS(o)_EM사업관리,20,AM
KR-20090392,(392)SKT 인트라넷 정보관리-09,20,AM
KR-20090395,(395)SK건설-MIS_사업관리-09,20,AM
KR-20090396,(396)SK건설-MIS_경영지원-09,20,AM
KR-20090399,운영 관리,20,AM
KR-20090254,SKN 09 MIS_무역(수출입),20,AM
KR-20090298,SK 엔크린  포탈-09,20,AM
KR-20090346,SK에너지 인천 CLX PI Upgrade 개발,10,AD
KR-20090405,(405)SKLMS-09,20,AM
CN-20090076,m-Payment service,20,AM
CN-20090077,Homnetwork - POS,50,SI(HW/SW)
CN-20090075,Woori Bank system upgrade delivery,50,SI(HW/SW)
CN-20090078,SKN 심양 IC카드,60,SI(AD)
CN-20090079,RIM Monitoring-SKCC-October,30,RIM
CN-20090080,SK Tower UPS Cabling,70,SI(AM)
CN-20090081,Woori Bank IBM server delivery,50,SI(HW/SW)
CN-20090082,CJ CGV (Wu Han) Service,70,SI(AM)
CN-20090083,CJ CGV (Wu Han) HW/SW delivery,50,SI(HW/SW)
KR-20090232,G-Project-유통망POS구축,10,AD
KR-20090287,PPS  activity a charge development,10,AD
KR-20090357,SK Energy HiOK   Mail/Organization,20,AM
KR-20090367,SKT PPSactivity  NEW(3)building,10,AD
KR-20090372,Building a new plan for the activation SKT PPS,10,AD
KR-20090388,(388)POS프로젝트2009_SKN,20,AM
KR-20090401,(401)SK에너지 소매/영업 개선,20,AM
KR-20090402,/물류/생산/사업관리,20,AM
KR-20090404,SK에너지 울산CLX  생산 AM(2009),20,AM
KR-20090240,Sales strategy implementation/management,10,AD
KR-20090275,Account service manager a system development,10,AD
KR-20090285,Mobile Ukey enlarged adaptation,10,AD
KR-20090295,Mobile Ukey extension adaptation,10,AD
KR-20090319,selling policy execution/officialdom altitude,10,AD
KR-20090347,SKT Account service officialdom  system  building,10,AD
KR-20090354,SKT ALMS,10,AD
KR-20090373,SKT use customer information to process developmen,10,AD
KR-20090393,(393)SK건설-MIS_토건사업관리-09,20,AM
KR-20090407,SK에너지 울산CLX 생산  AM(2009),20,AM
KR-20090351,RS 기능개선,10,AD
KR-20090353,SKTnonpayment consultation  channel altitude,10,AD
KR-20090400,SKTelecom 관리회계 시스템 고도화,20,AM
KR-20090411,SK에너지 인천CLX AM-운영 09,20,AM
KR-20090274,SKT customer information development,10,AD
KR-20090286,Wibro sales development,10,AD
KR-20090364,SKT customer information process  strengthening,10,AD
KR-20090415,SK에너지 MIS 경영지원 개선,20,AM
CN-20090073,Hyundai Heavy Industry Sales Management System (,60,SI(AD)
KR-20090426,(426)SKCC MIS 경영지원 운영_2009,20,AM
KR-20090406,SK에너지 MIS 경영지원_개선,20,AM
KR-20090408,(408)SK홀딩스 MIS 개선,20,AM
KR-20090412,SK에너지 MIS 소매/영업 개선,20,AM
KR-20090413,SK ES 09-MIS_인사,20,AM
KR-20090414,SK에너지 MIS 소매/영업_개선,20,AM
KR-20090416,SK에너지 MIS경영지원_개선,20,AM
KR-20090417,SK홀딩스 MIS개선,20,AM
KR-20090418,SK에너지 MIS 물류관리_개선,20,AM
KR-20090420,(420)SK Telesys IT 유지보수(2009)-2,20,AM
KR-20090423,(423)SKCC ERP/BW 운영_2009,20,AM
KR-20090427,(427)SKT 인트라넷 정보관리-0,20,AM
KR-20090428,SKN 09 MIS(s)EM사업관리,20,AM
KR-20090429,SKN 09 MIS(o)EM사업관리,20,AM
KR-20090430,SKN 09 MIS(c)_EM사업관리,20,AM
KR-20090433,도시가스 GIS 통합 Upgrade 프로젝트,20,AM
KR-20090435,SKES 09-MIS_영업/물류/생산/사업관리,20,AM
KR-20090436,Cashbag DW 운영_09_SKMC,20,AM
KR-20090438,SK가스㈜ TAS 유지보수,20,AM
KR-20090440,SK에너지 인천CLX 변경관리시스템 구축,20,AM
KR-20090441,SKN 09 MIS(s) EM사업관리,20,AM
KR-20090448,SK에너지 인천CLX TAPS 기능 개선,20,AM
KR-20090419,(419)SKCC 사업지원 시스템 운영 09,20,AM
KR-20090439,(439)SK에너지 울산CLX 생산 AM(2009),20,AM
KR-20090457,FWK 및 자동화 도구 개발 및 개선,10,AD
CN-20090084,RIM Monitoring_SKCC_November,30,RIM
KR-20090237,SKT 실시간 IP Mediation 기능개선,10,AD
KR-20090279,SKT 로밍빌링고도화,10,AD
KR-20090305,SKT 직무지식 평가시스템 고도화,10,AD
KR-20090323,PPS 2단계 기능개발,10,AD
KR-20090340,SKT DB countersign building  project,10,AD
KR-20090326,SKT CIA 프로세스 개선,10,AD
CN-20090058,SK Building Lease management system,60,SI(AD)
KR-20090445,SK건설-MIS_토건사업관리-09,20,AM
CN-20090085,GSC HW/SW Delivery,50,SI(HW/SW)
CN-20090086,SSO HW/SW Delivery,50,SI(HW/SW)
CN-20090087,RIM Monitoring_SKCC_December,30,RIM
CN-20090088,Service for SKCC,70,SI(AM)
KR-20090236,티유미디어 09년IT운영,10,AD
KR-20090284,SKT U.key 구조 고도화,10,AD
KR-20090432,SKN 09 MIS_무역 (수출입),20,AM
KR-20090437,SK에너지 윤활유 eMSDS 구축,10,AD
KR-20090442,SK건설-MIS_ 사업관리-09,20,AM
KR-20090443,SK건설-MIS_경영지원 -09,20,AM
KR-20090444,SK건설-MIS_구매관리-09,20,AM
KR-20090451,SK에너지 안전환경보건운영-09,20,AM
KR-20090453,SK에너지 인천CLX 건강정보관리 개발,10,AD
KR-20090455,SK에너지 MIS 소매/영업  개선,20,AM
KR-20090458,SKT-PS2-09,20,AM
